sha256	path
d3365acc87485b24a8b7117ffdbe1259d3040cdab542cf7396e790adeb96b464	failures/alternate-key.rpm
908d4bda767615258a528c29c5b52c02ddfde3b78201f2be67d047d09d5d120d	failures/corrupt.rpm
be41490ca900f459b3529fffa8958b082d9030b8aa16bdf9a0194b824e089b3a	failures/dnfast-arch-1.0-1.x86_64.rpm
c921a87d4179577b02a19b5496f284512d0340877e3b56adbe1ce1947daf1f91	failures/expired-primary.rpm
0e50f3121fd4a36dbadce7adca7cb59a49634b4501a485a41ea152f7c824578d	failures/expired-subkey.rpm
b8e905fef5a9b196940ebe443087d831abe6d8d9bfd723369bc1eaaaa243bb11	failures/revoked-primary.rpm
0befc885642056260cd5e45a3088671513bc53c1ab6b1d6970ec1dba3fc83b76	failures/revoked-subkey.rpm
4748ae66bc5ca19418a001b76a7a2c865443d9cffc9aee3738651cf8446f3974	failures/unsigned.rpm
15abb4b2284071b0364a23ee6fd6ca59d84a5a0f7b0a2601d07b2990f8ab1591	fingerprints.tsv
fb58b2aef2629f87bbde90622d9e888155d5581dc9e7cee2204c4aa8f1b45ee8	keys/allowed.asc
1ae8f869dd93eedbb653228afb50f6dfdef7e200117861c74980dfb3b2383bbe	keys/alternate.asc
526cfa7092fec4d496959e7e7333af8bd5b10631c723e0342737d6df8f5008ef	keys/expired-primary.asc
bc9e7f31ca137345752743a76b5d3d6a341768b2a2321b3193f463b0f71fa5d5	keys/expired-subkey.asc
b0bb0f1074e1e966cae30315fd5b6f4fd027be62fbe08c86cba052073298352a	keys/revoked-primary.asc
3685450a17740bb2ae7fe4184e17fe78deae621857db3379e6717550afff738a	keys/revoked-subkey.asc
0fb83b1e77f1ef29c89ef29dccf0d6bc0063ba51c6c982f07303b0fca7b752f5	repos/cost-high/dnfast-cost-1.0-1.noarch.rpm
8e3a423c73445578ba04cea4faacca8357935a2560f0924f250d26f768a614de	repos/cost-high/repodata/filelists.xml.zst
593593c571885ba75a0647eec484fc20e29a923680f36935bd21fc76bea16ead	repos/cost-high/repodata/other.xml.zst
105277b9bf18f00d0a60926e1608cba4986d30bc339ed647291e29c5f32c1f99	repos/cost-high/repodata/primary.xml.zst
3b4f533154236ae0a416c7bedcc192563902134523d88597c300b5d012fe21b4	repos/cost-high/repodata/repomd.xml
293f4d3520411e0b5214b7a0593384cf1b73c27cea64f7faddbda10de4d22a6d	repos/cost-high/repodata/repomd.xml.asc
